,Legal Provision Citation,Solution Generation,Issue Classification,Dispute Focus Identification,Comprehensive Response
deepseek-llm_67b,0.636,0.628,0.791,0.689,0.633
deepseek-llm_7b,0.652,0.625,0.712,0.676,0.637
deepseek-r1_1.5b,0.59,0.602,0.235,0.612,0.618
deepseek-r1_14b,0.614,0.623,0.254,0.628,0.641
deepseek-r1_32b,0.604,0.617,0.291,0.631,0.635
deepseek-r1_7b,0.606,0.611,0.233,0.62,0.627
deepseek-r1_8b,0.598,0.613,0.32,0.619,0.628
gemma2_27b,0.631,0.614,0.806,0.684,0.628
gemma2_2b,0.5,0.579,0.187,0.631,0.602
gemma2_9b,0.622,0.613,0.441,0.683,0.626
gemma_2b,0.597,0.609,0.717,0.671,0.615
gemma_7b,0.61,0.609,0.752,0.665,0.623
glm4_latest,0.668,0.621,0.795,0.717,0.648
llama3.1_8b,0.642,0.627,0.793,0.681,0.623
llama3.2_1b,0.599,0.601,0.528,0.641,0.612
llama3.2_3b,0.609,0.614,0.696,0.68,0.626
phi3_14b,0.454,0.454,0.18,0.449,0.425
phi3_3.8b,0.428,0.441,0.155,0.45,0.436
qwen2.5_1.5b,0.633,0.62,0.748,0.668,0.628
qwen2.5_14b,0.658,0.622,0.818,0.661,0.644
qwen2.5_32b,0.664,0.626,0.819,0.709,0.647
qwen2.5_3b,0.643,0.623,0.765,0.644,0.638
qwen2.5_7b,0.661,0.623,0.824,0.677,0.646
qwen2_1.5b,0.627,0.624,0.538,0.679,0.617
qwen2_7b,0.639,0.614,0.826,0.634,0.635
vicuna_13b,0.628,0.623,0.677,0.686,0.624
vicuna_33b,0.613,0.611,0.44,0.658,0.619
vicuna_7b,0.625,0.614,0.481,0.667,0.622
yi_34b,0.655,0.624,0.79,0.659,0.644
yi_9b,0.652,0.625,0.796,0.648,0.645
